manufacturercode,manufacturername,classoftradecode,classoftrade,sectorcode,sectorname,mediacode,medianame,categorycode,categoryname,segmentcode,segmentname,facevaluerangecode,facevaluerangedescription,facevalueperunitrangecode,facevalueperunitrangedescription,totalredemptionvalue,recordcount,percent,yyyyqqretailereow
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,3,.76 - 1.00,3,.76 - 1.00,0.89,1,0.00000004,201602
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,1,<.40,1971.00,868,0.00003662,201602
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,2,.40 - .75,0.50,1,0.00000004,201602
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,1299,Military,98,Cross-Category,1,Food,2,.40 - .75,1,<.40,0.50,1,0.00000004,201602
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,3,.76 - 1.00,3,.76 - 1.00,21.00,19,0.00000080,201602
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,1,<.40,16874.00,9291,0.00039196,201602
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,2,.40 - .75,7.09,13,0.00000055,201602
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,1360,Print At Home,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,2,.40 - .75,2.70,4,0.00000017,201602
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,1,<.40,1,<.40,5407.87,6564,0.00027692,201602
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,2,.40 - .75,2,.40 - .75,76.50,62,0.00000262,201602
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,7,Chips/Pretzels/Popcorn,1,Food,4,1.00 +,4,1.00 +,74.00,25,0.00000105,201602
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,5,Candy & Gum,1,Food,4,1.00 +,4,1.00 +,189.43,26,0.00000110,201602
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1299,Military,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,2,.40 - .75,22.00,9,0.00000038,201602
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,2,.40 - .75,1,<.40,5.46,10,0.00000042,201602
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1299,Military,11,Heat & Eat - Canned or Packaged,1,Food,1,<.40,1,<.40,0.25,1,0.00000004,201602
